Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,43.57,49.422501,42.375,47.487499,45.774502,2603925600
2019-04-01,47.91,52.119999,47.095001,50.1675,48.357815,2024470800
2019-05-01,52.470001,53.827499,43.747501,43.767502,42.188694,2957826400
2019-06-01,43.900002,50.392502,42.567501,49.48,47.878796,2060874800
2019-07-01,50.7925,55.342499,49.602501,53.259998,51.536469,1895406800
2019-08-01,53.474998,54.5075,48.145,52.185001,50.496265,2724326400
2019-09-01,51.607498,56.605,51.055,55.9925,54.38641,2170268400
2019-10-01,56.267502,62.4375,53.782501,62.189999,60.406132,2433210800
2019-11-01,62.384998,67.0,62.290001,66.8125,64.896057,1793326000
2019-12-01,66.817497,73.4925,64.072502,73.412498,71.520805,2388794800
2020-01-01,74.059998,81.962502,73.1875,77.377502,75.383629,2934370400
2020-02-01,76.074997,81.805,64.092499,68.339996,66.57901,3019279200
2020-03-01,70.57,76.0,53.1525,63.572498,62.081348,6280072400
2020-04-01,61.625,73.6325,59.224998,73.449997,71.727165,3265299200
2020-05-01,71.5625,81.059998,71.462502,79.485001,77.620628,2805936000
2020-06-01,79.4375,93.095001,79.302498,91.199997,89.301895,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,104.0485,3020283200
2020-08-01,108.199997,131.0,107.892502,129.039993,126.354378,4070061100
2020-09-01,132.759995,137.979996,103.099998,115.809998,113.604187,3885245100
2020-10-01,117.639999,125.389999,107.720001,108.860001,106.786552,2894666500
2020-11-01,109.110001,121.989998,107.32,119.050003,116.782478,2123077300
2020-12-01,121.010002,138.789993,120.010002,132.690002,130.387253,2322189600
2021-01-01,133.520004,145.089996,126.379997,131.960007,129.669922,2240262000
2021-02-01,133.75,137.880005,118.389999,121.260002,119.155594,1833855600
2021-03-01,123.75,128.720001,116.209999,122.150002,120.209526,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.371613,1889857500
2021-05-01,132.039993,134.070007,122.25,124.610001,122.630432,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,135.013184,1606590000
2021-07-01,136.600006,150.0,135.759995,145.860001,143.786652,1919035100
2021-08-01,146.360001,153.490005,144.5,151.830002,149.671814,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.5,139.697632,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,147.891922,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,163.194489,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,175.564072,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,172.805542,2108446000
2022-02-01,174.009995,176.649994,152.0,165.119995,163.254684,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,172.857437,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,156.067673,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,147.3461,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,135.546585,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,161.115265,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,155.870651,1510239600
2022-09-01,156.639999,164.259995,138.0,138.199997,137.204208,2084722800
2022-10-01,138.210007,157.5,134.369995,153.339996,152.235138,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,146.963394,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,129.207794,1675731200
2023-01-01,130.279999,147.229996,124.169998,144.289993,143.487961,1443652500
2023-02-01,143.970001,157.380005,141.320007,147.410004,146.590622,1307198900
2023-03-01,146.830002,165.0,143.899994,164.899994,164.23378,1520266600
2023-04-01,164.270004,169.850006,159.779999,169.679993,168.994461,969709700
2023-05-01,169.279999,179.350006,164.309998,177.25,176.53389,1275155500
2023-06-01,177.699997,194.479996,176.929993,193.970001,193.453568,1297101100
2023-07-01,193.779999,198.229996,186.600006,196.449997,195.926956,996066400
2023-08-01,196.240005,196.729996,171.960007,187.869995,187.369797,1322439400
2023-09-01,189.490005,189.979996,167.619995,171.210007,170.984741,1337586600
2023-10-01,171.220001,182.339996,165.669998,170.770004,170.545319,1172719600
2023-11-01,171.0,192.929993,170.119995,189.949997,189.700073,1099586100
2023-12-01,190.330002,199.619995,187.449997,192.529999,192.529999,1062774800
2024-01-01,187.149994,196.380005,180.169998,184.399994,184.399994,1187219300
2024-02-01,183.990005,191.050003,179.25,189.410004,189.410004,333965000
2024-02-07,190.639999,191.029999,188.610001,189.410004,189.410004,51849634
