Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,42.639999,44.970001,41.84,43.720001,33.662476,100892600
2019-04-01,44.259998,45.380001,42.73,43.73,33.67017,97991500
2019-05-01,43.740002,43.810001,40.599998,40.720001,31.352606,107329900
2019-06-01,41.240002,42.700001,40.32,41.700001,32.581078,100199000
2019-07-01,42.619999,42.630001,38.66,39.740002,31.049694,159303400
2019-08-01,39.049999,39.459999,35.73,36.950001,28.869814,171468500
2019-09-01,36.689999,39.849998,36.57,37.990002,30.176622,143823200
2019-10-01,38.07,39.799999,35.880001,37.91,30.113079,169176600
2019-11-01,38.32,40.009998,37.220001,37.419998,29.723854,147557700
2019-12-01,37.52,38.25,36.5,37.740002,30.453388,141188000
2020-01-01,38.040001,40.080002,35.869999,36.130001,29.154238,171781100
2020-02-01,35.900002,37.779999,29.709999,31.290001,25.248716,225449100
2020-03-01,31.549999,33.18,15.51,24.389999,20.02025,558148000
2020-04-01,25.23,27.549999,21.280001,23.799999,19.535959,374996000
2020-05-01,22.92,24.73,21.200001,23.139999,18.994204,218828600
2020-06-01,23.15,28.57,22.66,23.32,19.656654,248389400
2020-07-01,23.33,24.48,21.75,22.040001,18.577734,203851500
2020-08-01,21.969999,24.610001,20.91,20.93,17.642097,243312500
2020-09-01,20.91,21.15,17.35,17.459999,14.91081,287169900
2020-10-01,17.040001,17.74,14.74,15.48,13.219895,383453200
2020-11-01,15.82,22.1,15.52,19.559999,16.704208,382268400
2020-12-01,20.469999,22.83,20.190001,20.52,17.873087,310719600
2021-01-01,21.09,25.549999,20.549999,22.219999,19.353802,307236700
2021-02-01,22.290001,26.129999,20.43,24.41,21.261309,413297900
2021-03-01,24.82,27.1,23.889999,24.35,21.496214,302484000
2021-04-01,24.469999,25.950001,24.1,25.16,22.211283,333744500
2021-05-01,25.469999,27.469999,25.32,26.23,23.155878,268446000
2021-06-01,26.77,28.49,26.08,26.42,23.601219,251554200
2021-07-01,27.120001,27.23,22.639999,24.18,21.600206,247073800
2021-08-01,24.299999,26.1,23.389999,24.459999,21.850334,233740300
2021-09-01,24.58,27.889999,24.17,27.33,24.72521,231820200
2021-10-01,27.41,30.290001,27.309999,28.790001,26.046062,223150100
2021-11-01,29.190001,29.379999,25.459999,25.959999,23.485783,213302300
2021-12-01,26.620001,27.91,25.33,26.629999,24.375444,238098700
2022-01-01,26.690001,32.639999,26.65,30.92,28.302242,302114700
2022-02-01,31.200001,34.16,28.32,29.209999,26.737015,361039500
2022-03-01,28.780001,31.24,27.309999,29.4,27.185459,439308000
2022-04-01,29.549999,31.75,27.93,28.719999,26.556681,246299100
2022-05-01,28.549999,33.209999,28.16,32.369999,29.931746,291222300
2022-06-01,32.720001,34.299999,27.059999,28.35,26.502201,259773300
2022-07-01,27.950001,29.43,25.370001,29.379999,27.465065,232091900
2022-08-01,29.0,32.889999,28.74,30.84,28.829905,252576900
2022-09-01,30.52,32.419998,27.209999,28.549999,27.004805,211796200
2022-10-01,29.83,33.66,29.540001,33.279999,31.478802,224355400
2022-11-01,33.540001,36.110001,32.279999,35.900002,33.957005,202005000
2022-12-01,35.990002,36.099998,33.139999,34.93,33.395939,151421500
2023-01-01,35.0,36.599998,33.529999,36.23,34.638847,157962800
2023-02-01,36.509998,41.380001,34.279999,39.599998,37.86084,251482300
2023-03-01,39.759998,40.549999,34.139999,37.939999,36.629467,210563100
2023-04-01,39.869999,40.700001,39.009998,40.279999,38.888638,136798900
2023-05-01,39.98,40.419998,33.619999,33.709999,32.545578,209955500
2023-06-01,34.16,35.919998,34.060001,35.290001,34.443085,153842600
2023-07-01,36.040001,37.369999,34.400002,37.299999,36.404846,145668200
2023-08-01,37.560001,37.779999,35.529999,37.18,36.287724,144621000
2023-09-01,38.080002,39.73,37.830002,38.720001,38.236279,181808900
2023-10-01,38.709999,40.84,35.84,36.580002,36.123013,210711300
2023-11-01,36.290001,36.939999,34.459999,36.290001,35.836636,183527600
2023-12-01,36.080002,36.48,34.25,35.400002,35.400002,145634300
2024-01-01,35.639999,36.48,33.52,35.099998,35.099998,192551000
2024-02-01,35.419998,36.529999,33.93,36.169998,36.169998,74232400
2024-02-07,36.18,36.349998,35.900002,36.169998,36.169998,10934649
